ID	Label	Definition	Definition source	Editor note	Term editor	Exact synonym	Related synonym	Parent class
ID	A rdfs:label	A IAO:0000115	A IAO:0000119	A IAO:0000116	A IAO:0000117	A oio:hasExactSynonym SPLIT=|	A oio:hasRelatedSynonym SPLIT=|	SC %
ECOCORE:00000078	crepuscular	An organismal quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for being active primarily during dawn and dusk.		Definition was incorrectly stored in IAO:0000117 in ecocore-edit.owl; corrected here.	https://orcid.org/0000-0002-2908-3327			PATO:0001995
ECOCORE:00000079	nocturnal	An organismal quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for being active during the hours of darkness.			https://orcid.org/0000-0002-2908-3327			PATO:0001995
ECOCORE:00000080	diurnal	An organismal quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for being active during the hours of daylight.			https://orcid.org/0000-0002-2908-3327			PATO:0001995
ECOCORE:00000081	migratory	An organismal quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for participating in long-distance movement of conspecifics, usually on a seasonal basis.			https://orcid.org/0000-0002-2908-3327			PATO:0001995
