ID	Label	Definition	Definition source	Editor note	Term editor	Exact synonym	Related synonym	Parent class
ID	A rdfs:label	A IAO:0000115	A IAO:0000119	A IAO:0000116	A IAO:0000117	A oio:hasExactSynonym SPLIT=|	A oio:hasRelatedSynonym SPLIT=|	SC %
ECOCORE:00000068	endemic	The ecological state of a species being unique to a defined geographic location, such as an island, nation, or other defined zone or habitat type.			https://orcid.org/0000-0002-2908-3327			PCO:0000003
ECOCORE:00000069	extinct	The ecological state of a species or population wherein all individuals are dead.		DisjointWith extant (ECOCORE:00000072) — keep DisjointClasses axiom in ecocore-edit.owl.	https://orcid.org/0000-0002-2908-3327			PCO:0000003
ECOCORE:00000070	indigenous	The ecological state of a species living in a region where its presence is the result of only natural process, with no human intervention.			https://orcid.org/0000-0002-2908-3327		native	PCO:0000003
ECOCORE:00000071	introduced	The ecological state of a species living outside its native distributional range, which has arrived there by human activity, either deliberate or accidental.			https://orcid.org/0000-0002-2908-3327		exotic|invasive	PCO:0000003
ECOCORE:00000072	extant	The ecological state of a species or population wherein at least some individuals are alive.		DisjointWith extinct (ECOCORE:00000069) — keep DisjointClasses axiom in ecocore-edit.owl.	https://orcid.org/0000-0002-2908-3327			PCO:0000003
ECOCORE:00000073	cosmopolitan	The ecological state of a species being found across all or most of the world in appropriate habitats.			https://orcid.org/0000-0002-2908-3327			PCO:0000003
ECOCORE:00000074	microendemic	The ecological state of a species being unique to a very small and specific location, such as the side of a mountain or a single lake.			https://orcid.org/0000-0002-2908-3327			ECOCORE:00000068
