?cls	?xref
<http://purl.obolibrary.org/obo/PO_0009008>	"PO_GIT:55"
<http://purl.obolibrary.org/obo/PO_0009008>	"PATO:01503"
<http://purl.obolibrary.org/obo/PO_0025606>	"PO_GIT:586"
<http://purl.obolibrary.org/obo/PO_0025034>	"PO_GIT:301"
<http://purl.obolibrary.org/obo/PO_0025034>	"PO_GIT:274"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:30257078"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:23020233"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"GC_ID:1"
<http://purl.obolibrary.org/obo/PO_0006079>	"PO_GIT:583"
<http://purl.obolibrary.org/obo/PO_0006079>	"PO_GIT:472"
<http://purl.obolibrary.org/obo/PO_0009006>	"PO_GIT:135"
<http://purl.obolibrary.org/obo/PO_0009006>	"FNA:02756ad4-a09c-48d7-8754-903254e557a9"
<http://purl.obolibrary.org/obo/PO_0009006>	"FNA:d1431b5c-7b86-46a0-8d3c-bd426fe12c85"
<http://purl.obolibrary.org/obo/PO_0009012>	"TAIR:0000205"
<http://purl.obolibrary.org/obo/PO_0009012>	"PO_GIT:185"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788855"
<http://purl.obolibrary.org/obo/PO_0025233>	"PO_GIT:338"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:ec8c2064-2a67-43d7-8e14-aecfef5cf33b"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:f8f31520-e4bc-4430-9274-8dd3cee7ffd8"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:99508f62-7116-4e2b-90c0-19ff55ebd967"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:ba1b1bd5-75bd-4195-b11c-3aba08da08c2"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:4b610104-1bb0-4c6b-9bb9-e3cc61d11ac0"
<http://purl.obolibrary.org/obo/PO_0000003>	"PO_GIT:538"
<http://purl.obolibrary.org/obo/PO_0000003>	"PO_GIT:69"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:e4dde193-57f7-4ab9-9d25-96b4ca0088ba"
<http://purl.obolibrary.org/obo/PO_0000003>	"FNA:c1ccca7d-2a98-4a9d-8603-c34b551935e0"
<http://purl.obolibrary.org/obo/PO_0025131>	"PO_GIT:224"
<http://purl.obolibrary.org/obo/ENVO_01000254>	"EcoLexicon:environment"
<http://purl.obolibrary.org/obo/NCBITaxon_4751>	"PMID:12684019"
<http://purl.obolibrary.org/obo/NCBITaxon_4751>	"PMID:11062127"
<http://purl.obolibrary.org/obo/NCBITaxon_4751>	"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"HAO:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"VHOG:0001721"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"AAO:0010264"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"FMA:67165"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"BILA:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"TAO:0001836"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"AEO:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"CARO:0000006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"EHDAA2:0003006"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"TGMA:0001826"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"FBbt:00007016"
<http://purl.obolibrary.org/obo/NCBITaxon_33511>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_33213>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_89593>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8287>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:12054223"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11411719"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11211268"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11541975"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11321113"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10425795"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11760965"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:2112744"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11542149"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10939651"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"GC_ID:11"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:9336922"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10425797"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:9103655"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11321083"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:270744"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:25527841"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10939677"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11540071"
