?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000982>	"Wikipedia:Joint"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"NCIT:C13301"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"CALOHA:TS-0620"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"UMLS:C0162415"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"VHOG:0000170"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"EHDAA2:0003145"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"EV:0100007"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"ZFA:0000393"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"AAO:0010427"
<http://purl.obolibrary.org/obo/UBERON_0003104>	<http://en.wikipedia.org/wiki/Mesenchyme>
<http://purl.obolibrary.org/obo/UBERON_0003104>	"AEO:0000145"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"BTO:0001393"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"XAO:0003046"
<http://purl.obolibrary.org/obo/UBERON_0003104>	<http://linkedlifedata.com/resource/umls/id/C0162415>
<http://purl.obolibrary.org/obo/UBERON_0003104>	"TAO:0000393"
<http://purl.obolibrary.org/obo/UBERON_0003104>	"Wikipedia:Mesenchyme"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EHDAA:5035"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EHDAA:5043"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"TAO:0005277"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EV:0100377"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"VHOG:0000319"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EFO:0000888"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"MESH:D018482"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"GAID:141"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"OpenCyc:Mx4rv2kf-5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"AAO:0011099"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"MIAA:0000302"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EMAPA:35988"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"CALOHA:TS-0933"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"XAO:0000174"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"BTO:0001103"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"ZFA:0005277"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"MA:0003148"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EHDAA:5984"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"MAT:0000302"
<http://purl.obolibrary.org/obo/UBERON_0014892>	"EHDAA:5978"
<http://purl.obolibrary.org/obo/UBERON_0007010>	"BILA:0000058"
<http://purl.obolibrary.org/obo/GO_0005622>	"Wikipedia:Intracellular"
<http://purl.obolibrary.org/obo/UBERON_0006965>	"EFO:0003709"
<http://purl.obolibrary.org/obo/UBERON_0006965>	"ZFA:0005077"
<http://purl.obolibrary.org/obo/UBERON_0006965>	"TAO:0005077"
<http://purl.obolibrary.org/obo/UBERON_0004549>	"EMAPA:37363"
<http://purl.obolibrary.org/obo/UBERON_0004549>	<http://www.snomedbrowser.com/Codes/Details/362502000>
<http://purl.obolibrary.org/obo/UBERON_0004549>	"NCIT:C119333"
<http://purl.obolibrary.org/obo/UBERON_0004549>	"MA:0002950"
<http://purl.obolibrary.org/obo/UBERON_0004549>	"FMA:12514"
<http://purl.obolibrary.org/obo/UBERON_0004549>	"SCTID:362502000"
<http://purl.obolibrary.org/obo/CL_0000214>	"FMA:66786"
<http://purl.obolibrary.org/obo/CL_0000214>	"BTO:0003652"
<http://purl.obolibrary.org/obo/CL_0000214>	"CALOHA:TS-0995"
<http://purl.obolibrary.org/obo/UBERON_0001605>	<http://linkedlifedata.com/resource/umls/id/C0559230>
<http://purl.obolibrary.org/obo/UBERON_0001605>	"EMAPA:35240"
<http://purl.obolibrary.org/obo/UBERON_0001605>	<http://www.snomedbrowser.com/Codes/Details/280862009>
<http://purl.obolibrary.org/obo/UBERON_0001605>	<http://en.wikipedia.org/wiki/Ciliary_muscle>
<http://purl.obolibrary.org/obo/UBERON_0001605>	"BTO:0000654"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"MA:0001269"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"UMLS:C0559230"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"FMA:49151"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"NCIT:C32315"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"SCTID:280862009"
<http://purl.obolibrary.org/obo/UBERON_0001605>	"Wikipedia:Ciliary_muscle"
<http://purl.obolibrary.org/obo/CL_0000228>	"AEO:0000203"
<http://purl.obolibrary.org/obo/CL_0000228>	"WBbt:0008074"
<http://purl.obolibrary.org/obo/UBERON_0019267>	"FMA:83913"
<http://purl.obolibrary.org/obo/UBERON_0019267>	"DHBA:10649"
<http://purl.obolibrary.org/obo/UBERON_0003827>	"MA:0000559"
<http://purl.obolibrary.org/obo/UBERON_0003827>	"EMAPA:37247"
<http://purl.obolibrary.org/obo/UBERON_0003827>	<http://www.snomedbrowser.com/Codes/Details/426649006>
<http://purl.obolibrary.org/obo/UBERON_0003827>	"SCTID:426649006"
<http://purl.obolibrary.org/obo/UBERON_0011596>	"EHDAA2:0001020"
<http://purl.obolibrary.org/obo/UBERON_0014455>	"CALOHA:TS-2406"
<http://purl.obolibrary.org/obo/UBERON_0003605>	"EMAPA:37530"
<http://purl.obolibrary.org/obo/UBERON_0003605>	"MA:0002451"
<http://purl.obolibrary.org/obo/UBERON_0003937>	"MA:0001751"
<http://purl.obolibrary.org/obo/UBERON_0007794>	<http://en.wikipedia.org/wiki/Serous_fluid>
<http://purl.obolibrary.org/obo/UBERON_0007794>	"Wikipedia:Serous_fluid"
<http://purl.obolibrary.org/obo/UBERON_0003832>	<http://www.snomedbrowser.com/Codes/Details/360961009>
<http://purl.obolibrary.org/obo/UBERON_0003832>	"MA:0002682"
<http://purl.obolibrary.org/obo/UBERON_0003832>	"EMAPA:26983"
<http://purl.obolibrary.org/obo/UBERON_0003832>	"SCTID:360961009"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"MAT:0000175"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"EV:0100005"
<http://purl.obolibrary.org/obo/UBERON_0000925>	<http://linkedlifedata.com/resource/umls/id/C0014144>
<http://purl.obolibrary.org/obo/UBERON_0000925>	"GAID:1305"
<http://purl.obolibrary.org/obo/UBERON_0000925>	<http://www.snomedbrowser.com/Codes/Details/362855003>
<http://purl.obolibrary.org/obo/UBERON_0000925>	"UMLS:C0014144"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"EMAPA:16062"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"FBbt:00000125"
<http://purl.obolibrary.org/obo/UBERON_0000925>	<http://en.wikipedia.org/wiki/Endoderm>
<http://purl.obolibrary.org/obo/UBERON_0000925>	"BILA:0000038"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"CALOHA:TS-0273"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"TAO:0000017"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"ZFA:0000017"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"AAO:0000139"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"MESH:A16.254.425.407"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"EHDAA2:0000436"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"VHOG:0000154"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"BTO:0000800"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"FMA:69071"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"XAO:0000090"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"EFO:0002545"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"NCIT:C12706"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"MIAA:0000175"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"Wikipedia:Endoderm"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"MESH:D004707"
<http://purl.obolibrary.org/obo/UBERON_0000925>	"SCTID:362855003"
<http://purl.obolibrary.org/obo/CL_0000034>	"FMA:63368"
<http://purl.obolibrary.org/obo/CL_0000034>	"CALOHA:TS-2086"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"FMA:63182"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"MESH:D001160"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"MA:0000063"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"ZFA:0005255"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"VHOG:0001763"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"TAO:0002138"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"UMLS:C0003847"
<http://purl.obolibrary.org/obo/UBERON_0001980>	<http://www.snomedbrowser.com/Codes/Details/337724002>
<http://purl.obolibrary.org/obo/UBERON_0001980>	"NCIT:C12672"
<http://purl.obolibrary.org/obo/UBERON_0001980>	<http://linkedlifedata.com/resource/umls/id/C0003847>
<http://purl.obolibrary.org/obo/UBERON_0001980>	"EMAPA:35146"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"BTO:0001997"
<http://purl.obolibrary.org/obo/UBERON_0001980>	<http://en.wikipedia.org/wiki/Arteriole>
<http://purl.obolibrary.org/obo/UBERON_0001980>	"AAO:0010253"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"Wikipedia:Arteriole"
<http://purl.obolibrary.org/obo/UBERON_0001980>	"SCTID:337724002"
<http://purl.obolibrary.org/obo/CL_0000048>	"FMA:84789"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"EFO:0000966"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"ZFA:0001115"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"MA:0000004"
<http://purl.obolibrary.org/obo/UBERON_0002100>	<http://www.snomedbrowser.com/Codes/Details/262225004>
<http://purl.obolibrary.org/obo/UBERON_0002100>	"galen:Trunk"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"OpenCyc:Mx4rvVkJjpwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"BTO:0001493"
<http://purl.obolibrary.org/obo/UBERON_0002100>	<http://linkedlifedata.com/resource/umls/id/C0460005>
<http://purl.obolibrary.org/obo/UBERON_0002100>	"BILA:0000116"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"NCIT:C33816"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"CALOHA:TS-1071"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"XAO:0000054"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"AAO:0010339"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"MIAA:0000296"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"XAO:0003025"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"EMAPA:31857"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"FMA:7181"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"TAO:0001115"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"UMLS:C0460005"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"MAT:0000296"
<http://purl.obolibrary.org/obo/UBERON_0002100>	<http://en.wikipedia.org/wiki/Torso>
<http://purl.obolibrary.org/obo/UBERON_0002100>	"SCTID:262225004"
<http://purl.obolibrary.org/obo/UBERON_0002100>	"Wikipedia:Torso"
<http://purl.obolibrary.org/obo/UBERON_0007197>	"TADS:0000601"
<http://purl.obolibrary.org/obo/UBERON_0007197>	"HAO:0000029"
<http://purl.obolibrary.org/obo/UBERON_0007197>	"BILA:0000029"
<http://purl.obolibrary.org/obo/UBERON_0007197>	"AAO:0010035"
<http://purl.obolibrary.org/obo/UBERON_0007197>	"WBbt:0007849"
<http://purl.obolibrary.org/obo/UBERON_0007197>	"CARO:0000029"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"MA:0001301"
<http://purl.obolibrary.org/obo/UBERON_0001803>	<http://www.snomedbrowser.com/Codes/Details/362523006>
<http://purl.obolibrary.org/obo/UBERON_0001803>	"EMAPA:32871"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"XAO:0004094"
<http://purl.obolibrary.org/obo/UBERON_0001803>	<http://en.wikipedia.org/wiki/Lens_(anatomy)#Lens_Epithelium>
<http://purl.obolibrary.org/obo/UBERON_0001803>	"TAO:0001326"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"BTO:0001873"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"FMA:58871"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"CALOHA:TS-0543"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"ZFA:0001326"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"SCTID:362523006"
<http://purl.obolibrary.org/obo/UBERON_0001803>	"Wikipedia:Lens_(anatomy)#Lens_Epithelium"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"OGES:000010"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"OGES:000024"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"WBls:0000103"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"WBls:0000022"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"WBls:0000093"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"OGES:000014"
<http://purl.obolibrary.org/obo/UBERON_0000092>	"BilaDO:0000003"
<http://purl.obolibrary.org/obo/UBERON_0000304>	"NCIT:C96299"
<http://purl.obolibrary.org/obo/UBERON_0000304>	"FMA:45087"
<http://purl.obolibrary.org/obo/UBERON_0000304>	"UMLS:C0224856"
<http://purl.obolibrary.org/obo/UBERON_0000304>	<http://en.wikipedia.org/wiki/Tendon_sheath>
<http://purl.obolibrary.org/obo/UBERON_0000304>	<http://www.snomedbrowser.com/Codes/Details/361885006>
<http://purl.obolibrary.org/obo/UBERON_0000304>	"BTO:0000051"
<http://purl.obolibrary.org/obo/UBERON_0000304>	<http://linkedlifedata.com/resource/umls/id/C0224856>
<http://purl.obolibrary.org/obo/UBERON_0000304>	"FMA:76715"
<http://purl.obolibrary.org/obo/UBERON_0000304>	"Wikipedia:Tendon_sheath"
<http://purl.obolibrary.org/obo/UBERON_0000304>	"SCTID:361885006"
<http://purl.obolibrary.org/obo/UBERON_0010347>	"EHDAA2:0004078"
<http://purl.obolibrary.org/obo/UBERON_0000484>	<http://linkedlifedata.com/resource/umls/id/C0836134>
<http://purl.obolibrary.org/obo/UBERON_0000484>	"ZFA:0001497"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"CARO:0000067"
<http://purl.obolibrary.org/obo/UBERON_0000484>	<http://en.wikipedia.org/wiki/Simple_cuboidal_epithelium>
<http://purl.obolibrary.org/obo/UBERON_0000484>	"NCIT:C33553"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"FMA:45566"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"EHDAA2:0003067"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"AAO:0010064"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"XAO:0004009"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"TAO:0001497"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"BILA:0000067"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"UMLS:C0836134"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"HAO:0000067"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"AEO:0000067"
<http://purl.obolibrary.org/obo/UBERON_0000484>	"Wikipedia:Simple_cuboidal_epithelium"
<http://purl.obolibrary.org/obo/UBERON_0007500>	"RETIRED_EHDAA2:0003116"
<http://purl.obolibrary.org/obo/UBERON_0007500>	"AEO_RETIRED:0000116"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"NCIT:C32696"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"BAMS:Scgrey"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"UMLS:C0475853"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"MA:0000002"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"NLXANAT:100204"
<http://purl.obolibrary.org/obo/UBERON_0002315>	<http://linkedlifedata.com/resource/umls/id/C0475853>
<http://purl.obolibrary.org/obo/UBERON_0002315>	<http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=2619>
<http://purl.obolibrary.org/obo/UBERON_0002315>	"EMAPA:35792"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"FMA:256580"
<http://purl.obolibrary.org/obo/UBERON_0002315>	<http://www.snomedbrowser.com/Codes/Details/279441003>
<http://purl.obolibrary.org/obo/UBERON_0002315>	"DHBA:146035048"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"SCTID:279441003"
<http://purl.obolibrary.org/obo/UBERON_0002315>	"neuronames:2619"
<http://purl.obolibrary.org/obo/UBERON_0004710>	"VSAO:0000125"
<http://purl.obolibrary.org/obo/UBERON_0004710>	"VHOG:0001753"
<http://purl.obolibrary.org/obo/UBERON_0010291>	<http://en.wikipedia.org/wiki/Sclera#Histology>
<http://purl.obolibrary.org/obo/UBERON_0010291>	"Wikipedia:Sclera#Histology"
<http://purl.obolibrary.org/obo/GO_0005576>	"Wikipedia:Extracellular"
<http://purl.obolibrary.org/obo/UBERON_0007237>	"EHDAA2:0000031"
<http://purl.obolibrary.org/obo/UBERON_0007237>	"EHDAA:583"
<http://purl.obolibrary.org/obo/UBERON_0007237>	"EMAPA:16382"
<http://purl.obolibrary.org/obo/UBERON_0007237>	"VHOG:0000510"
<http://purl.obolibrary.org/obo/UBERON_0004236>	"MA:0000706"
<http://purl.obolibrary.org/obo/UBERON_0004236>	"FMA:312251"
<http://purl.obolibrary.org/obo/UBERON_0004236>	"EMAPA:36287"
<http://purl.obolibrary.org/obo/UBERON_0002425>	"EMAPA:19032"
<http://purl.obolibrary.org/obo/UBERON_0002425>	<http://en.wikipedia.org/wiki/Visceral_pericardium>
<http://purl.obolibrary.org/obo/UBERON_0002425>	"EMAPA:16589"
<http://purl.obolibrary.org/obo/UBERON_0002425>	"VHOG:0000538"
<http://purl.obolibrary.org/obo/UBERON_0002425>	"FMA:84882"
<http://purl.obolibrary.org/obo/UBERON_0002425>	<http://www.snomedbrowser.com/Codes/Details/243955001>
<http://purl.obolibrary.org/obo/UBERON_0002425>	"MA:0000484"
<http://purl.obolibrary.org/obo/UBERON_0002425>	"Wikipedia:Visceral_pericardium"
<http://purl.obolibrary.org/obo/UBERON_0002425>	"SCTID:243955001"
<http://purl.obolibrary.org/obo/UBERON_0009722>	"EMAPA:32754"
<http://purl.obolibrary.org/obo/UBERON_0009722>	"EHDAA2:0004621"
<http://purl.obolibrary.org/obo/UBERON_0009722>	"FMA:293087"
<http://purl.obolibrary.org/obo/GO_0005911>	"NIF_Subcellular:sao1922892319"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"FMA:295654"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"ZFA:0001513"
<http://purl.obolibrary.org/obo/UBERON_0004290>	<http://linkedlifedata.com/resource/umls/id/C1511786>
<http://purl.obolibrary.org/obo/UBERON_0004290>	"TAO:0001513"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"AAO:0010572"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"NCIT:C34140"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"EHDAA2:0003259"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"AEO:0000214"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"EMAPA:31109"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"VHOG:0000676"
<http://purl.obolibrary.org/obo/UBERON_0004290>	"UMLS:C1511786"
<http://purl.obolibrary.org/obo/UBERON_0013704>	"NCIT:C34230"
<http://purl.obolibrary.org/obo/UBERON_0013704>	<http://linkedlifedata.com/resource/umls/id/C1518428>
<http://purl.obolibrary.org/obo/UBERON_0013704>	"UMLS:C1518428"
<http://purl.obolibrary.org/obo/UBERON_0013704>	"FMA:293127"
<http://purl.obolibrary.org/obo/UBERON_0002203>	<http://www.snomedbrowser.com/Codes/Details/123846009>
<http://purl.obolibrary.org/obo/UBERON_0002203>	"FMA:74743"
<http://purl.obolibrary.org/obo/UBERON_0002203>	"TAO:0007057"
<http://purl.obolibrary.org/obo/UBERON_0002203>	"ZFA:0007057"
<http://purl.obolibrary.org/obo/UBERON_0002203>	"SCTID:123846009"
<http://purl.obolibrary.org/obo/UBERON_0002193>	"FMA:74562"
<http://purl.obolibrary.org/obo/UBERON_0002193>	"EMAPA:18765"
<http://purl.obolibrary.org/obo/UBERON_0002193>	"EHDAA2:0004615"
<http://purl.obolibrary.org/obo/UBERON_0002193>	"CALOHA:TS-2018"
<http://purl.obolibrary.org/obo/UBERON_0002193>	"MA:0000013"
<http://purl.obolibrary.org/obo/UBERON_0012416>	"EMAPA:37567"
<http://purl.obolibrary.org/obo/UBERON_0012416>	"MA:0001802"
<http://purl.obolibrary.org/obo/UBERON_0003495>	"MA:0001803"
<http://purl.obolibrary.org/obo/UBERON_0003495>	"EMAPA:37568"
<http://purl.obolibrary.org/obo/UBERON_0006567>	"FMA:9535"
<http://purl.obolibrary.org/obo/UBERON_0006567>	"EMAPA:17342"
<http://purl.obolibrary.org/obo/UBERON_0006567>	"MA:0002984"
<http://purl.obolibrary.org/obo/UBERON_0006567>	<http://www.snomedbrowser.com/Codes/Details/362020004>
<http://purl.obolibrary.org/obo/UBERON_0006567>	"SCTID:362020004"
<http://purl.obolibrary.org/obo/UBERON_2005260>	"FMA:63196"
<http://purl.obolibrary.org/obo/UBERON_2005260>	"NCIT:C32595"
<http://purl.obolibrary.org/obo/UBERON_2005260>	"TAO:0005260"
<http://purl.obolibrary.org/obo/UBERON_2005260>	<http://linkedlifedata.com/resource/umls/id/C1179615>
<http://purl.obolibrary.org/obo/UBERON_2005260>	<http://en.wikipedia.org/wiki/Capillary#Types>
<http://purl.obolibrary.org/obo/UBERON_2005260>	"UMLS:C1179615"
<http://purl.obolibrary.org/obo/UBERON_2005260>	"ZFA:0005260"
<http://purl.obolibrary.org/obo/UBERON_2005260>	"Wikipedia:Capillary#Types"
<http://purl.obolibrary.org/obo/UBERON_0003080>	"VHOG:0001384"
<http://purl.obolibrary.org/obo/UBERON_0003080>	"XAO:0000307"
<http://purl.obolibrary.org/obo/UBERON_0003080>	"TAO:0007038"
<http://purl.obolibrary.org/obo/UBERON_0003080>	"ZFA:0007038"
<http://purl.obolibrary.org/obo/UBERON_0003080>	"AAO:0011012"
<http://purl.obolibrary.org/obo/UBERON_0009480>	"EHDAA2:0000191"
<http://purl.obolibrary.org/obo/UBERON_0009480>	"EMAPA:16261"
<http://purl.obolibrary.org/obo/UBERON_0010740>	"MA:0000688"
<http://purl.obolibrary.org/obo/UBERON_0010740>	"EMAPA:35494"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"MA:0002045"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"AAO:0010232"
<http://purl.obolibrary.org/obo/UBERON_0001533>	<http://linkedlifedata.com/resource/umls/id/C0038530>
<http://purl.obolibrary.org/obo/UBERON_0001533>	"XAO:0000365"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"NCIT:C33643"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"UMLS:C0038530"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"MESH:D013348"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"FMA:3951"
<http://purl.obolibrary.org/obo/UBERON_0001533>	<http://www.snomedbrowser.com/Codes/Details/265790007>
<http://purl.obolibrary.org/obo/UBERON_0001533>	"TAO:0005086"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"EMAPA:17617"
<http://purl.obolibrary.org/obo/UBERON_0001533>	<http://en.wikipedia.org/wiki/Subclavian_artery>
<http://purl.obolibrary.org/obo/UBERON_0001533>	"ZFA:0005086"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"GAID:511"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"EHDAA:4357"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"OpenCyc:Mx4rvp8u1JwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"EHDAA2:0001933"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"SCTID:265790007"
<http://purl.obolibrary.org/obo/UBERON_0001533>	"Wikipedia:Subclavian_artery"
<http://purl.obolibrary.org/obo/UBERON_0001417>	"UMLS:C0205030"
<http://purl.obolibrary.org/obo/UBERON_0001417>	<http://www.snomedbrowser.com/Codes/Details/361705004>
<http://purl.obolibrary.org/obo/UBERON_0001417>	"FMA:23022"
<http://purl.obolibrary.org/obo/UBERON_0001417>	<http://linkedlifedata.com/resource/umls/id/C0205030>
<http://purl.obolibrary.org/obo/UBERON_0001417>	"FMA:23021"
<http://purl.obolibrary.org/obo/UBERON_0001417>	"MA:0000590"
<http://purl.obolibrary.org/obo/UBERON_0001417>	"EMAPA:37277"
<http://purl.obolibrary.org/obo/UBERON_0001417>	"NCIT:C52756"
<http://purl.obolibrary.org/obo/UBERON_0001417>	"SCTID:361705004"
<http://purl.obolibrary.org/obo/UBERON_0003887>	"UMLS:C1512940"
<http://purl.obolibrary.org/obo/UBERON_0003887>	<http://en.wikipedia.org/wiki/Intraembryonic_coelom>
<http://purl.obolibrary.org/obo/UBERON_0003887>	"NCIT:C34195"
<http://purl.obolibrary.org/obo/UBERON_0003887>	"VHOG:0000316"
<http://purl.obolibrary.org/obo/UBERON_0003887>	"EMAPA:16088"
<http://purl.obolibrary.org/obo/UBERON_0003887>	"EHDAA:251"
<http://purl.obolibrary.org/obo/UBERON_0003887>	<http://linkedlifedata.com/resource/umls/id/C1512940>
<http://purl.obolibrary.org/obo/UBERON_0003887>	"Wikipedia:Intraembryonic_coelom"
<http://purl.obolibrary.org/obo/UBERON_0035814>	<http://www.snomedbrowser.com/Codes/Details/42267001>
<http://purl.obolibrary.org/obo/UBERON_0035814>	"ZFA:0005765"
<http://purl.obolibrary.org/obo/UBERON_0035814>	"SCTID:42267001"
<http://purl.obolibrary.org/obo/UBERON_0002377>	"UMLS:C0027532"
<http://purl.obolibrary.org/obo/UBERON_0002377>	"GAID:149"
<http://purl.obolibrary.org/obo/UBERON_0002377>	<http://linkedlifedata.com/resource/umls/id/C0027532>
<http://purl.obolibrary.org/obo/UBERON_0002377>	"MA:0000587"
<http://purl.obolibrary.org/obo/UBERON_0002377>	"MESH:D009334"
<http://purl.obolibrary.org/obo/UBERON_0002377>	"NCIT:C33163"
<http://purl.obolibrary.org/obo/UBERON_0002377>	"FMA:9617"
<http://purl.obolibrary.org/obo/UBERON_0002377>	"EMAPA:36050"
<http://purl.obolibrary.org/obo/UBERON_0007473>	"AEO:0000079"
<http://purl.obolibrary.org/obo/CL_0002242>	"FMA:67513"
<http://purl.obolibrary.org/obo/UBERON_0001796>	"EMAPA:18232"
<http://purl.obolibrary.org/obo/UBERON_0001796>	<http://en.wikipedia.org/wiki/Aqueous_humor>
<http://purl.obolibrary.org/obo/UBERON_0001796>	"ENVO:02000024"
<http://purl.obolibrary.org/obo/UBERON_0001796>	"NCIT:C13190"
<http://purl.obolibrary.org/obo/UBERON_0001796>	<http://www.snomedbrowser.com/Codes/Details/280587006>
<http://purl.obolibrary.org/obo/UBERON_0001796>	"MA:0001236"
