Level	Rule Name	Subject	Property	Value
ERROR	missing_label	oboInOwl:Subset	rdfs:label		
ERROR	deprecated_class_reference	GO:0004872	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0016265	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0035636	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0044699	rdfs:subClassOf	GO:0044710	
ERROR	deprecated_class_reference	GO:0044699	rdfs:subClassOf	GO:0044763	
ERROR	deprecated_class_reference	GO:0044699	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0044710	rdfs:subClassOf	GO:0055114	
ERROR	deprecated_class_reference	GO:0044710	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0044763	rdfs:subClassOf	GO:0015980	
ERROR	deprecated_class_reference	GO:0044763	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0072519	rdfs:subClassOf	bfeade854307aea4a5ddf8302b04515d	
ERROR	deprecated_class_reference	GO:0072519	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	GO:0085031	rdfs:subClassOf	93f5a9c94819f0e4d2c97aefd3f59f6a	
ERROR	deprecated_class_reference	GO:0085031	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	IAO:0000230	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0000146	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001422	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001546	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001547	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001548	
ERROR	deprecated_class_reference	PATO:0001237	rdfs:subClassOf	PATO:0001985	
ERROR	deprecated_class_reference	PATO:0001237	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	RO:0002218	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	RO:0002258	rdfs:domain	BFO:0000002	
ERROR	deprecated_class_reference	RO:0002258	rdfs:range	BFO:0000002	
ERROR	deprecated_class_reference	RO:0002258	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	deprecated_class_reference	RO:0002258	owl:inverseOf	RO:0002286	
ERROR	deprecated_class_reference	RO:0002609	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	ecocore.owl	dc11:description		
ERROR	duplicate_label	CHEBI:15377	rdfs:label	water	
ERROR	duplicate_label	ENVO:00002006	rdfs:label	water	
ERROR	duplicate_label	NCBITaxon:1	rdfs:label	root	
ERROR	duplicate_label	PO:0009005	rdfs:label	root	
ERROR	duplicate_label	GO:0019098	rdfs:label	reproductive behavior	
ERROR	duplicate_label	NBO:0000010	rdfs:label	reproductive behavior	
ERROR	duplicate_label	PO:0025127	rdfs:label	primordium	
ERROR	duplicate_label	UBERON:0001048	rdfs:label	primordium	
ERROR	duplicate_label	ECOCORE:00000147	rdfs:label	parasitism	
ERROR	duplicate_label	GO:0072519	rdfs:label	parasitism	
ERROR	duplicate_label	CARO:0010000	rdfs:label	multicellular anatomical structure	
ERROR	duplicate_label	UBERON:0010000	rdfs:label	multicellular anatomical structure	
ERROR	duplicate_label	CARO:0000007	rdfs:label	immaterial anatomical entity	
ERROR	duplicate_label	UBERON:0000466	rdfs:label	immaterial anatomical entity	
ERROR	duplicate_label	ENVO:00000176	rdfs:label	elevation	
ERROR	duplicate_label	PATO:0001687	rdfs:label	elevation	
ERROR	duplicate_label	ENVO:2100007	rdfs:label	determined by part of	
ERROR	duplicate_label	RO:0002509	rdfs:label	determined by part of	
ERROR	duplicate_label	ENVO:2100001	rdfs:label	determined by	
ERROR	duplicate_label	RO:0002507	rdfs:label	determined by	
ERROR	duplicate_label	CARO:0000000	rdfs:label	anatomical entity	
ERROR	duplicate_label	UBERON:0001062	rdfs:label	anatomical entity	
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en	
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en	
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en	
ERROR	multiple_definitions	BFO:0000015	IAO:0000115	p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en	
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en	
ERROR	multiple_definitions	BFO:0000031	IAO:0000115	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.@en	
ERROR	multiple_definitions	BFO:0000031	IAO:0000115	b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])@en	
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.	
ERROR	multiple_definitions	BFO:0000051	IAO:0000115	a core relation that holds between a whole and its part@en	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	The assertion P preceded_by P1 tells us something about Ps in general: that is, it tells us something about what happened earlier, given what we know about what happened later. Thus it does not provide information pointing in the opposite direction, concerning instances of P1 in general; that is, that each is such as to be succeeded by some instance of P.	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	X preceded_by Y iff: end(Y) before_or_simultaneous_with start(X)	
ERROR	multiple_definitions	BFO:0000062	IAO:0000115	x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.@en	
ERROR	multiple_definitions	ECOCORE:00000120	IAO:0000115	Sequential hermaphroditism occurs when the individual changes sex at some point in its life.	
ERROR	multiple_definitions	ECOCORE:00000120	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer changing sex at some point in its life	
ERROR	multiple_definitions	ENVO:00000002	IAO:0000115	An anthropogenic geographic feature is a geographic feature    resulting from the influence of human beings on nature.	
ERROR	multiple_definitions	ENVO:00000002	IAO:0000115	An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature.	
ERROR	multiple_definitions	ENVO:00000002	IAO:0000115	An anthropogenic geographic feature is a geographic feature'resulting from the influence of human beings on nature.	
ERROR	multiple_definitions	ENVO:00010483	IAO:0000115	A portion of environmental material is a fiat object part which forms the medium or part of the medium of an environmental system.	
ERROR	multiple_definitions	ENVO:00010483	IAO:0000115	A portion of environmental material is a fiat object which forms the medium or part of the medium of an environmental system.	
ERROR	multiple_definitions	ENVO:01000817	IAO:0000115	A biosphere is a part of an astronomical body which includes, as parts, all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.	
ERROR	multiple_definitions	ENVO:01000817	IAO:0000115	A biosphere is an environmental system which includes, as parts, all the living entities within the gravitational sphere of influence of an astronomical body, and the non-living and dead entities which they interact with.	
ERROR	multiple_definitions	GO:0008150	IAO:0000115	A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.	
ERROR	multiple_definitions	GO:0008150	IAO:0000115	Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.	
ERROR	multiple_definitions	GO:0044403	IAO:0000115	A process carried out by symbiont gene products that enables a symbiotic interaction with a host organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts.	
ERROR	multiple_definitions	GO:0044403	IAO:0000115	An interaction between two organisms living together in more or less intimate association. Microscopic symbionts are often referred to as endosymbionts. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs.	
ERROR	multiple_definitions	GO:0085030	IAO:0000115	A process carried out by symbiont gene products that enables a symbiotic interaction with a host organism, that is beneficial to the host organism.	
ERROR	multiple_definitions	GO:0085030	IAO:0000115	An interaction between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other.	
ERROR	multiple_definitions	IAO:0000112	IAO:0000115	A phrase describing how a class name should be used. May also include other kinds of examples that facilitate immediate understanding of a class semantics, such as widely known prototypical subclasses or instances of the class. Although essential for high level terms, examples for low level terms (e.g., Affymetrix HU133 array) are not@en	
ERROR	multiple_definitions	IAO:0000112	IAO:0000115	A phrase describing how a term should be used and/or a citation to a work which uses it. May also include other kinds of examples that facilitate immediate understanding, such as widely know prototypes or instances of a class, or cases where a relation is said to hold.@en	
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official OBI definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en	
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en	
ERROR	multiple_definitions	IAO:0100001	IAO:0000115	Add as annotation triples in the granting ontology@en	
ERROR	multiple_definitions	IAO:0100001	IAO:0000115	Use on obsolete terms, relating the term to another term that can be used as a substitute@en	
ERROR	multiple_definitions	PCO:0000000	IAO:0000115	A material entity that consists of two or more organisms, viruses, or viroids.	
ERROR	multiple_definitions	PCO:0000000	IAO:0000115	A material entity that consists of two or more organisms, viruses, or viroids.@en	
ERROR	multiple_definitions	RO:0002131	IAO:0000115	A overlaps B if they share some part in common.	
ERROR	multiple_definitions	RO:0002131	IAO:0000115	x overlaps y if and only if there exists some z such that x has part z and z part of y	
ERROR	multiple_definitions	RO:0002160	IAO:0000115	S only_in_taxon T iff: S SubClassOf in_taxon only T	
ERROR	multiple_definitions	RO:0002160	IAO:0000115	x only in taxon y if and only if x is in taxon y, and there is no other organism z such that y!=z a and x is in taxon z.	
