?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ECOCORE_00000015>	"An organism which consumes fungi."	
<http://purl.obolibrary.org/obo/ECOCORE_00000020>	"A heterotrophic process during which a living entity acquires food and energy by consuming living plant- or macro-algal material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000089>	"A carnivore that actively captures and consumes other animals, causing their immediate or immenent death"	
<http://purl.obolibrary.org/obo/ECOCORE_00000024>	"Quotient (or ratio) of surface area of an organism divided by the mass of the same organism"	
<http://purl.obolibrary.org/obo/ECOCORE_00000151>	"A parasite that lives entirely within the body of its host"	"https://www.wikidata.org/entity/Q9300235"
<http://purl.obolibrary.org/obo/ECOCORE_00000043>	"a reproductive quality inhering in the bearer by virtue of the bearer having female reproductive organs at the beginning of its life and then switching to male reproductive organs"	
<http://purl.obolibrary.org/obo/ECOCORE_00000158>	"A suspension feeder that acquires nutrition by consuming planktonic organisms."	
<http://purl.obolibrary.org/obo/ECOCORE_00000159>	"A heterotroph that obtains dissolved organic compounds by osmosis for nutrition. An osmotroph is not directly involved in breaking down organic material to create the organic compounds it uses."	
<http://purl.obolibrary.org/obo/ECOCORE_00000081>	"An evolutionary quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for participating in long-distance movement of conspecifics, usually on a seasonal basis"	
<http://purl.obolibrary.org/obo/ECOCORE_00000004>	"A function which inheres in a living entity by virtue of that entity being able to feed on a material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000144>	"An herbivore that primarily consumes wood"	"https://www.wikidata.org/entity/Q2072826"
<http://purl.obolibrary.org/obo/ECOCORE_00000134>	"An organism that thrives in physically or geochemically extreme conditions that are detrimental to most life on Earth"	
<http://purl.obolibrary.org/obo/ECOCORE_00000007>	"A function which inheres in a living entity by virtue of that entity being able to realize autotrophic and heterotrophic functions."	
<http://purl.obolibrary.org/obo/ECOCORE_00000128>	"A chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000008>	"A process during which a living entity acquires or generates food and energy from a living, dead, or non-living entity."	
<http://purl.obolibrary.org/obo/ECOCORE_00000056>	"A decomposer that obtains nutrition through extracellular digestion of decaying organic matter"	
<http://purl.obolibrary.org/obo/ECOCORE_00000161>	"A symbiosis in which a photosynthetic organism provides energy and nutrients to a heterotrophic organism."	
<http://purl.obolibrary.org/obo/ECOCORE_00000062>	"An organismal quality inhering in a bearer by virtue of the structure of the bearer's conspecifics in relation to sexual behavior."	
<http://purl.obolibrary.org/obo/ECOCORE_00000084>	"An herbivore that primarily consumes leaves"	
<http://purl.obolibrary.org/obo/ECOCORE_00000032>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce zygotes that develop in the female's oviducts, but find their nutriments from other tissues, whether skin or glandular tissue"	
<http://purl.obolibrary.org/obo/ECOCORE_00000073>	"The ecological state of a species being found across all or most of the world in appropriate habitats."	
<http://purl.obolibrary.org/obo/ECOCORE_00000122>	"A photoautotroph which is capable of using an abiogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000052>	"Organism that acquires nutrition by consuming particles of organic matter that have settled to the bottom of a body of water. The organism lives beneath the surface of the bottom sediment and retrieves food particles without coming into direct contact with the sediment surface."	
<http://purl.obolibrary.org/obo/ECOCORE_00000076>	"A polyphyletic group of diverse photosynthetic organisms that excludes vascular plants and mosses and includes cyanobacteria, seaweed, and some single-celled organisms."	
<http://purl.obolibrary.org/obo/ECOCORE_00000132>	"A heterotroph which is capable of obtaining energy from the bonds in a chemical compound."	
<http://purl.obolibrary.org/obo/ECOCORE_00000147>	"A symbiotrophic process during which a living entity acquires food and energy from another living entity via a close association. The entity providing the food and energy is harmed by this process."	
<http://purl.obolibrary.org/obo/ECOCORE_00000031>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring via external fertilization, the oocytes being released and fertilized outside the female's body by the male"	
<http://purl.obolibrary.org/obo/ECOCORE_00000009>	"A trophic interaction process during which a living entity acquires energy and generates biomass from non-living entities."	
<http://purl.obolibrary.org/obo/ECOCORE_00000064>	"One female has an exclusive mating relationship with two or more males"	
<http://purl.obolibrary.org/obo/ECOCORE_00000164>	"A carnivore that consumes blood, during a brief, temporary interaction."	
<http://purl.obolibrary.org/obo/ECOCORE_00000156>	"A predator that primarily eats fish"	"https://www.wikidata.org/entity/Q1420208"
<http://purl.obolibrary.org/obo/ECOCORE_00000039>	"An evolutionary quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for running"	
<http://purl.obolibrary.org/obo/ECOCORE_00000013>	"A process during which a living entity generates food from abiotic sources and captures energy from light."	
<http://purl.obolibrary.org/obo/ECOCORE_00000083>	"An herbivore that primarily consumes grasses."	
<http://purl.obolibrary.org/obo/ECOCORE_00000029>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that are born live, or where the development of the offspring is supported by either parent in or on any part of their body"	
<http://purl.obolibrary.org/obo/ECOCORE_00000038>	"The sixth post-naupliar life stage of a copepod"	
