?x	?p	?y
<http://purl.obolibrary.org/obo/PCO_0000003>	<http://purl.obolibrary.org/obo/RO_0000052>	<http://purl.obolibrary.org/obo/PCO_0000001>
<http://purl.obolibrary.org/obo/PCO_0000027>	<http://purl.obolibrary.org/obo/RO_0002351>	<http://purl.obolibrary.org/obo/NCBITaxon_9606>
<http://purl.obolibrary.org/obo/UBERON_0001766>	<http://purl.obolibrary.org/obo/RO_0002433>	<http://purl.obolibrary.org/obo/UBERON_0001801>
<http://purl.obolibrary.org/obo/UBERON_0001652>	<http://purl.obolibrary.org/obo/RO_0002178>	<http://purl.obolibrary.org/obo/UBERON_0002168>
<http://purl.obolibrary.org/obo/UBERON_0012475>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002091>
<http://purl.obolibrary.org/obo/UBERON_0000104>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/UBERON_0000105>
<http://purl.obolibrary.org/obo/UBERON_0004911>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000992>
<http://purl.obolibrary.org/obo/UBERON_0003055>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0000076>
<http://purl.obolibrary.org/obo/UBERON_0003129>	<http://purl.obolibrary.org/obo/RO_0002160>	<http://purl.obolibrary.org/obo/NCBITaxon_89593>
<http://purl.obolibrary.org/obo/GO_0051094>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0032502>
<http://purl.obolibrary.org/obo/UBERON_0004696>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004237>
<http://purl.obolibrary.org/obo/UBERON_0014794>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004710>
<http://purl.obolibrary.org/obo/UBERON_0014892>	<http://purl.obolibrary.org/obo/uberon/core#synapsed_by>	<http://purl.obolibrary.org/obo/CL_0000100>
<http://purl.obolibrary.org/obo/UBERON_0005173>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002417>
<http://purl.obolibrary.org/obo/UBERON_0004874>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0003081>
<http://purl.obolibrary.org/obo/UBERON_0011137>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/UBERON_0000982>
<http://purl.obolibrary.org/obo/UBERON_0005498>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0004291>
<http://purl.obolibrary.org/obo/UBERON_0001975>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001096>
<http://purl.obolibrary.org/obo/UBERON_0006562>	<http://purl.obolibrary.org/obo/RO_0002160>	<http://purl.obolibrary.org/obo/NCBITaxon_33213>
<http://purl.obolibrary.org/obo/UBERON_0005338>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000947>
<http://purl.obolibrary.org/obo/GO_0120111>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0043005>
<http://purl.obolibrary.org/obo/UBERON_0003081>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0000926>
<http://purl.obolibrary.org/obo/UBERON_0001638>	<http://purl.obolibrary.org/obo/uberon/core#channel_for>	<http://purl.obolibrary.org/obo/UBERON_0013756>
<http://purl.obolibrary.org/obo/UBERON_0003566>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0005253>
<http://purl.obolibrary.org/obo/UBERON_0001833>	<http://purl.obolibrary.org/obo/RO_0002221>	<http://purl.obolibrary.org/obo/UBERON_0000166>
<http://purl.obolibrary.org/obo/UBERON_0007195>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/UBERON_0003909>
<http://purl.obolibrary.org/obo/UBERON_0004802>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000065>
<http://purl.obolibrary.org/obo/UBERON_0000947>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0010191>
<http://purl.obolibrary.org/obo/UBERON_0005253>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0009142>
<http://purl.obolibrary.org/obo/UBERON_0005691>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0003115>
<http://purl.obolibrary.org/obo/UBERON_0007616>	<http://purl.obolibrary.org/obo/RO_0002473>	<http://purl.obolibrary.org/obo/UBERON_0002384>
<http://purl.obolibrary.org/obo/UBERON_0014776>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0009616>
<http://purl.obolibrary.org/obo/UBERON_0005421>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0005419>
<http://purl.obolibrary.org/obo/UBERON_0004581>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004582>
<http://purl.obolibrary.org/obo/UBERON_0010190>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/UBERON_0005805>
<http://purl.obolibrary.org/obo/UBERON_0001769>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0004128>
<http://purl.obolibrary.org/obo/UBERON_0001772>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0000076>
<http://purl.obolibrary.org/obo/UBERON_0001768>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/UBERON_0001769>
<http://purl.obolibrary.org/obo/UBERON_0015833>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001041>
<http://purl.obolibrary.org/obo/UBERON_0002323>	<http://purl.obolibrary.org/obo/RO_0002572>	<http://purl.obolibrary.org/obo/UBERON_0011997>
<http://purl.obolibrary.org/obo/GO_0002684>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0002376>
<http://purl.obolibrary.org/obo/CL_0000005>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000008>
<http://purl.obolibrary.org/obo/UBERON_0007021>	<http://purl.obolibrary.org/obo/RO_0002489>	<http://purl.obolibrary.org/obo/UBERON_0000112>
<http://purl.obolibrary.org/obo/GO_0048519>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0008150>
<http://purl.obolibrary.org/obo/UBERON_0000467>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/UBERON_0000111>
_:B00a3dcbfX2D37aaX2D4108X2D8c79X2Dcc09b6826af3genid13804	<http://purl.obolibrary.org/obo/uberon/core#distally_connected_to>	<http://purl.obolibrary.org/obo/UBERON_0001043>
<http://purl.obolibrary.org/obo/UBERON_0007823>	<http://purl.obolibrary.org/obo/RO_0002551>	<http://purl.obolibrary.org/obo/UBERON_0010719>
<http://purl.obolibrary.org/obo/UBERON_0005216>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004348>
<http://purl.obolibrary.org/obo/UBERON_0003828>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002417>
<http://purl.obolibrary.org/obo/UBERON_0003059>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0003077>
<http://purl.obolibrary.org/obo/UBERON_0002049>	<http://purl.obolibrary.org/obo/RO_0002473>	<http://purl.obolibrary.org/obo/UBERON_0000055>
<http://purl.obolibrary.org/obo/UBERON_0005744>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001474>
<http://purl.obolibrary.org/obo/UBERON_0004708>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0010707>
<http://purl.obolibrary.org/obo/UBERON_0002050>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000922>
<http://purl.obolibrary.org/obo/GO_0045822>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0060047>
<http://purl.obolibrary.org/obo/UBERON_0036289>	<http://purl.obolibrary.org/obo/BSPO_0000123>	<http://purl.obolibrary.org/obo/UBERON_0002080>
<http://purl.obolibrary.org/obo/UBERON_0006563>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002333>
<http://purl.obolibrary.org/obo/CL_0007004>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000133>
<http://purl.obolibrary.org/obo/UBERON_0022303>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001016>
<http://purl.obolibrary.org/obo/UBERON_0008114>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0007823>
<http://purl.obolibrary.org/obo/UBERON_0010252>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0010258>
<http://purl.obolibrary.org/obo/UBERON_0004802>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000072>
<http://purl.obolibrary.org/obo/UBERON_0005291>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002050>
<http://purl.obolibrary.org/obo/UBERON_0003729>	<http://purl.obolibrary.org/obo/RO_0002150>	<http://purl.obolibrary.org/obo/UBERON_0000355>
<http://purl.obolibrary.org/obo/UBERON_0001421>	<http://purl.obolibrary.org/obo/BSPO_0000126>	<http://purl.obolibrary.org/obo/UBERON_0000468>
<http://purl.obolibrary.org/obo/UBERON_0002217>	<http://purl.obolibrary.org/obo/RO_0002219>	<http://purl.obolibrary.org/obo/UBERON_0001484>
<http://purl.obolibrary.org/obo/UBERON_0001802>	<http://purl.obolibrary.org/obo/BSPO_0000122>	<http://purl.obolibrary.org/obo/UBERON_0010230>
<http://purl.obolibrary.org/obo/UBERON_0034929>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000475>
<http://purl.obolibrary.org/obo/UBERON_0004356>	<http://purl.obolibrary.org/obo/RO_0002256>	<http://purl.obolibrary.org/obo/UBERON_0003104>
<http://purl.obolibrary.org/obo/CL_0000347>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000008>
<http://purl.obolibrary.org/obo/GO_0048581>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0009791>
<http://purl.obolibrary.org/obo/UBERON_0012254>	<http://purl.obolibrary.org/obo/RO_0002380>	<http://purl.obolibrary.org/obo/UBERON_0001516>
<http://purl.obolibrary.org/obo/CL_0000071>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0002546>
<http://purl.obolibrary.org/obo/UBERON_0005234>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004348>
<http://purl.obolibrary.org/obo/UBERON_0001731>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0006562>
<http://purl.obolibrary.org/obo/UBERON_0010891>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0010708>
<http://purl.obolibrary.org/obo/GO_0040016>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0009790>
<http://purl.obolibrary.org/obo/UBERON_0004872>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000922>
<http://purl.obolibrary.org/obo/UBERON_0014794>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0007269>
<http://purl.obolibrary.org/obo/UBERON_0006965>	<http://purl.obolibrary.org/obo/uberon/core#site_of>	<http://purl.obolibrary.org/obo/GO_0048754>
<http://purl.obolibrary.org/obo/UBERON_0001090>	<http://purl.obolibrary.org/obo/RO_0001025>	<http://purl.obolibrary.org/obo/UBERON_0007617>
<http://purl.obolibrary.org/obo/UBERON_0002302>	<http://purl.obolibrary.org/obo/RO_0002433>	<http://purl.obolibrary.org/obo/UBERON_0002081>
